habilidade,alunos_id_string,habilidade_normalizada
-2.18091820679377,210054828335,381.90817932062305
-2.14013743504052,210054803451,385.98625649594806
-2.12778954327488,"210056721190, 210054733343, 210055143265, 210057685360, 210055001534, 210055001992, 210054693474, 210057046042, 210054541001, 210057149716, 210056635177, 210056610490",387.221045672512
-2.11019395381858,210057282027,388.980604618142
-2.10828220379763,210058008503,389.171779620237
-2.10391894536852,210057634616,389.608105463148
-2.07414902942519,210056225314,392.585097057481
-2.06001015672186,210055014550,393.998984327814
-2.05623720810323,210056844272,394.376279189677
-2.05541837897073,210054785165,394.458162102927
-2.0329600695748,210056687946,396.70399304252
-2.02890311750496,210056838984,397.10968824950396
-2.0280372702888,210054809238,397.19627297112
-2.02565856467776,210055059725,397.43414353222397
-2.00885169538241,210057242612,399.114830461759
-2.00744655066328,210054986190,399.25534493367195
-1.99622880769187,210056778923,400.377119230813
-1.97810569449492,210054857933,402.189430550508
-1.97072496060698,210057656080,402.92750393930197
-1.96563774675455,210054633084,403.43622532454503
-1.96321450031347,210055188917,403.678549968653
-1.96023882218416,210054733316,403.976117781584
-1.9577172666631,210055202655,404.22827333368997
-1.95665239963938,210055154088,404.334760036062
-1.95136719495283,210055210186,404.86328050471695
-1.94391424272205,210054717501,405.608575727795
-1.94012800957333,210057603231,405.987199042667
-1.93843679870392,210054715185,406.156320129608
-1.91815440922527,210056730135,408.184559077473
-1.9141218760511,210056748844,408.58781239489
-1.91248292063065,210054798492,408.751707936935
-1.90831349826818,210054582596,409.16865017318196
-1.90038156008158,210056842804,409.961843991842
-1.89291140928197,210056709579,410.708859071803
-1.89068959496925,210057150331,410.931040503075
-1.88770332623226,210057689292,411.229667376774
-1.88581238316591,210057148807,411.418761683409
-1.88205080157059,210054898641,411.794919842941
-1.87979498771142,210054824922,412.02050122885805
-1.87560186284507,210056757837,412.439813715493
-1.87468107689308,210054972124,412.531892310692
-1.87140783534682,210056791099,412.859216465318
-1.86877504100953,210054543050,413.12249589904695
-1.86842103868254,210055070578,413.15789613174604
-1.8525716782791,210055222463,414.74283217209006
-1.85240706601019,210057647972,414.7592933989811
-1.85009078518114,210054891579,414.990921481886
-1.84832942862388,210055097517,415.167057137612
-1.84773150945513,210056638529,415.226849054487
-1.83964917582151,210054707301,416.035082417849
-1.83863794256166,210054940374,416.136205743834
-1.82877270419048,210054533636,417.122729580952
-1.82624751142728,210057201757,417.375248857272
-1.82259570488502,210054925069,417.74042951149795
-1.81983563287032,210057617977,418.016436712968
-1.81976581254725,210054992452,418.02341874527497
-1.81810561988933,210057305460,418.18943801106695
-1.81635811881813,210055059108,418.36418811818703
-1.81474183008551,210055132312,418.525816991449
-1.81469405070425,210056735950,418.53059492957505
-1.81328411347104,210054892978,418.671588652896
-1.8107509128925,210054707123,418.92490871075
-1.81019400318412,210057684996,418.98059968158805
-1.80995660307311,210057217321,419.004339692689
-1.80818413388108,210057265978,419.181586611892
-1.80177751679596,210057291940,419.822248320404
-1.79961857155342,210054717009,420.03814284465795
-1.79826931046568,210054976419,420.173068953432
-1.7962246132127,210057189455,420.37753867873005
-1.79189402517916,210055107131,420.81059748208395
-1.79109440050331,210054716751,420.890559949669
-1.78956341469202,210054759748,421.043658530798
-1.78655224016551,210056310624,421.344775983449
-1.78563914612626,210054804258,421.43608538737396
-1.7792330441032,210054837034,422.07669558968
-1.77823880307435,210057636378,422.17611969256495
-1.77483117933374,210057258987,422.51688206662607
-1.77472870535143,210054959068,422.527129464857
-1.7740399758765,210057283095,422.59600241235
-1.77313955588028,210057157456,422.68604441197203
-1.76870502277585,210054763186,423.12949772241495
-1.76708610666557,210056706759,423.291389333443
-1.76212458673703,210054698998,423.787541326297
-1.75902580637877,210057222215,424.097419362123
-1.75749957149714,210054880474,424.25004285028604
-1.75347283026231,210056173004,424.652716973769
-1.7446868125597,210056784755,425.53131874403
-1.74318489794976,210054911815,425.681510205024
-1.74238314235633,210054824517,425.76168576436703
-1.73832425061562,210057683419,426.16757493843795
-1.73697049627456,210057184762,426.302950372544
-1.73370832587273,210055217670,426.62916741272704
-1.72364538993513,210057158654,427.63546100648705
-1.72220740206485,210054937647,427.779259793515
-1.72108183337527,210054905252,427.891816662473
-1.71702145997229,210057674915,428.29785400277103
-1.71476492266345,210057204599,428.523507733655
-1.71424081206974,210054871152,428.57591879302595
-1.71185510619681,210055093711,428.814489380319
-1.70764010618361,210057638359,429.235989381639
-1.70674298260301,210054551262,429.325701739699
