habilidade,alunos_id_string,habilidade_normalizada
-2.63443562523802,210055564757,336.55643747619797
-2.62519450775688,210057566801,337.48054922431197
-2.60054175166499,210057347558,339.945824833501
-2.59299711360292,210055413006,340.700288639708
-2.56472394267078,210056536456,343.527605732922
-2.54655690388354,210055292798,345.34430961164605
-2.54223074886061,210055560951,345.776925113939
-2.53661048193096,210057551651,346.338951806904
-2.51487390078256,210057819771,348.512609921744
-2.47295430079072,210057346798,352.704569920928
-2.46112638051868,210055551258,353.887361948132
-2.45793579621897,210055456043,354.206420378103
-2.4186299223345,210055632727,358.13700776655
-2.4060501290554,210057063172,359.39498709446
-2.38952239452068,210056594052,361.047760547932
-2.38284896052361,210055568808,361.715103947639
-2.37454117343554,210056914785,362.545882656446
-2.36854791057773,210056172041,363.145208942227
-2.34218811861485,210055457485,365.78118813851495
-2.33587665717417,210057320059,366.412334282583
-2.33510983376193,210055502202,366.489016623807
-2.31240213162366,210055623274,368.759786837634
-2.3112797246722,210057561259,368.87202753278
-2.27840187768416,210055549375,372.159812231584
-2.27693081164482,210055593471,372.306918835518
-2.27579020939476,210055495053,372.420979060524
-2.27270123337641,210055447897,372.729876662359
-2.27123700700003,210056873572,372.87629929999696
-2.26598379084099,210055122142,373.40162091590105
-2.26432492352498,210055167225,373.567507647502
-2.25762158878622,210055561511,374.237841121378
-2.25580078187866,210057327257,374.419921812134
-2.25301201457522,210056916702,374.698798542478
-2.25225137741208,210055401014,374.774862258792
-2.24888526901497,210055449406,375.111473098503
-2.22958032267743,210055569759,377.04196773225704
-2.22686099754197,210057704832,377.313900245803
-2.22494437875783,210056457539,377.505562124217
-2.22479355382272,210055500494,377.52064461772795
-2.22311205624615,210057669642,377.688794375385
-2.21800949062912,210054869941,378.19905093708803
-2.21653815580294,210055574354,378.346184419706
-2.2126696870466,210056872284,378.73303129533997
-2.21136096793058,210055524040,378.863903206942
-2.20938982433477,210055281431,379.061017566523
-2.18950664733792,210057805208,381.049335266208
-2.18238807529882,210054865452,381.761192470118
-2.18023677291677,210055581254,381.976322708323
-2.17991549554651,210055684700,382.008450445349
-2.17543687636756,210057817873,382.456312363244
-2.17332748869508,210057347292,382.667251130492
-2.17304498283687,210056619294,382.695501716313
-2.17197416452678,210055646045,382.802583547322
-2.16987261103449,210055427017,383.012738896551
-2.16047959297839,210057362031,383.952040702161
-2.15348696432919,210055562623,384.651303567081
-2.15282083378844,210055066068,384.717916621156
-2.13805119713775,210055391204,386.194880286225
-2.13670739264524,210055436712,386.32926073547605
-2.13660218684372,210056547885,386.339781315628
-2.13308060156047,210057760186,386.69193984395304
-2.12959739461525,210057348483,387.04026053847497
-2.12868535944834,210055421840,387.131464055166
-2.1213324709389,210056429975,387.86675290611
-2.12126609863353,210055616764,387.873390136647
-2.12005899492459,210056899349,387.994100507541
-2.11646022658689,210057363146,388.35397734131095
-2.10885255239501,210057133656,389.114744760499
-2.10829942087178,210057106681,389.170057912822
-2.10650434751516,210055701230,389.349565248484
-2.10562573765458,210056978205,389.43742623454204
-2.10277084002558,210055441199,389.722915997442
-2.10171077193026,210055513000,389.828922806974
-2.09979157817999,210057759096,390.02084218200105
