habilidade,alunos_id_string,habilidade_normalizada
-1.44059163863693,210057715141,455.940836136307
-1.30731966156931,210057638944,469.26803384306896
-1.29871637372444,210056753271,470.128362627556
-1.25772228205896,210054579943,474.227771794104
-1.2298497009919,210055144470,477.01502990081
-1.22399935536631,210055041533,477.600064463369
-1.22318382819169,"210054575969, 210056704829",477.681617180831
-1.22259135579844,210054900376,477.740864420156
-1.2225866846227,210054520833,477.74133153773
-1.2223631845662,210057262204,477.76368154337996
-1.21897061702032,210054952536,478.102938297968
-1.21747247748673,210054600461,478.252752251327
-1.2168625266581,210054901871,478.31374733419
-1.2166495061941,210054570471,478.33504938058996
-1.21473093588022,210057276714,478.526906411978
-1.2123280404845,210054478581,478.76719595155
-1.21103041005059,210057195914,478.896958994941
-1.21101765293004,210054726714,478.898234706996
-1.20894473051929,210057632213,479.105526948071
-1.20139645675068,210055202747,479.860354324932
-1.20118223304514,210055255663,479.881776695486
-1.20036615516537,210056864581,479.96338448346296
-1.19943301779957,210054721967,480.056698220043
-1.19907983970314,210057153498,480.09201602968596
-1.19675490677721,210054653994,480.32450932227897
-1.19654714074096,210056838258,480.345285925904
-1.19461347992928,210057238526,480.538652007072
-1.19412153685848,210057620055,480.587846314152
-1.19124510633718,210056837827,480.87548936628195
-1.19112495504707,210057691229,480.887504495293
-1.19041813637947,210056782093,480.958186362053
-1.18462462229406,210054979850,481.537537770594
-1.18457784260549,210054816151,481.54221573945097
-1.18343345545711,210054714999,481.65665445428897
-1.18010867780345,210054972495,481.989132219655
-1.17621191035138,210054887590,482.378808964862
-1.17043392964492,210054699441,482.956607035508
-1.1699277768844,210054581989,483.00722231156
-1.16922368596684,210057647222,483.077631403316
-1.16107862679376,210055214295,483.892137320624
-1.16073320651376,210054516065,483.92667934862396
-1.16002313388892,210054626844,483.99768661110795
-1.15941519103495,210054995469,484.05848089650505
-1.15864277380538,210056705762,484.135722619462
-1.15840947929122,210054948996,484.15905207087803
-1.15839828551033,210054871213,484.160171448967
