habilidade,alunos_id_string,habilidade_normalizada
-2.57446380473115,210058004862,342.553619526885
-2.57051859597447,210055524133,342.948140402553
-2.56790329139846,210056690647,343.209670860154
-2.54967875825806,210057671230,345.032124174194
-2.48993884929318,210055180880,351.006115070682
-2.45269565656063,210055688259,354.73043434393696
-2.4153347189308,210055516398,358.46652810692
-2.39157219337811,210056441452,360.842780662189
-2.38830871443416,210056523321,361.169128556584
-2.35045387697225,210055046225,364.954612302775
-2.34461077540813,210054986908,365.538922459187
-2.3404412794562,210057332610,365.95587205438
-2.33230660770086,210055570970,366.769339229914
-2.32411627018543,210055369030,367.588372981457
-2.31917208686821,210055378354,368.082791313179
-2.30022691963564,210057360616,369.977308036436
-2.29503637941018,210055419374,370.496362058982
-2.29051455769532,210057309761,370.948544230468
-2.26596629764753,210056582209,373.40337023524705
-2.26595976763358,210054541463,373.40402323664205
-2.23980838284761,210055408867,376.01916171523897
-2.23275794902639,210055511140,376.72420509736105
-2.22636491075336,210057561259,377.36350892466396
-2.21184443710772,210057819378,378.81555628922797
-2.20696222513357,210056903592,379.303777486643
-2.2030189276314,210055381562,379.69810723686
-2.20229776658546,210055549375,379.77022334145397
-2.20134115238451,210056934894,379.86588476154895
-2.19940034509916,210055428929,380.059965490084
-2.1845107984652,210055064025,381.54892015348
-2.18097596980536,210055598423,381.902403019464
-2.14813495395927,210057358648,385.186504604073
-2.14635710009037,210055108135,385.364289990963
-2.1449623103587,210057788570,385.50376896413
-2.14037948463491,210057352132,385.962051536509
-2.13981852698594,210055450140,386.018147301406
-2.137540801935,210057801963,386.24591980649996
-2.12532056274609,210055527454,387.467943725391
-2.12177063154436,210054983041,387.82293684556396
-2.11770448691824,210056172041,388.229551308176
-2.11309544323394,210055547830,388.690455676606
-2.11081897936077,210055623205,388.918102063923
-2.10219476291902,210055612185,389.78052370809803
-2.09597274573542,210057893190,390.402725426458
-2.08322472232358,210057347691,391.677527767642
-2.08041435102815,210057331505,391.958564897185
-2.07823756283513,210055489711,392.17624371648697
-2.07140553734252,210055492984,392.859446265748
-2.03540322311527,210057130290,396.459677688473
-2.02686020397593,210057133656,397.313979602407
-2.02633929474697,210055314104,397.36607052530303
-2.02310891581211,210055285959,397.68910841878903
-2.01867514219824,210055401014,398.132485780176
-2.01733311964484,210056887113,398.266688035516
-2.01683928121069,210055571930,398.316071878931
-2.01298866763104,210056851046,398.701133236896
-2.00545907904903,210057316838,399.454092095097
-1.99730157106574,210057345482,400.269842893426
-1.99693551372426,210055559062,400.306448627574
-1.99416561189928,210057378871,400.583438810072
-1.99329241384489,210055487790,400.670758615511
-1.99045163443496,210055403022,400.954836556504
-1.98055003678453,210055326737,401.944996321547
-1.97952512504855,210055380123,402.047487495145
-1.96381470404194,210057722465,403.61852959580597
-1.96202147823158,210056922396,403.79785217684207
-1.95351954360533,210056674837,404.648045639467
-1.94041061575529,210055666719,405.95893842447094
-1.93451334710513,210056582478,406.548665289487
-1.93382925929888,210057704832,406.61707407011204
-1.93032898386026,210057786187,406.96710161397397
-1.92397862399422,210057820011,407.60213760057803
-1.9179902563232,210056930523,408.20097436768003
-1.91777268545462,210055732524,408.222731454538
-1.91733290200592,210055663353,408.26670979940803
-1.91691189285124,210056554922,408.308810714876
-1.9164914611102,210057300073,408.35085388898
-1.91593083034417,210056589241,408.40691696558304
-1.91534233952159,210056891931,408.465766047841
-1.91507453042173,210055512558,408.49254695782696
-1.90942184958772,210055507196,409.05781504122797
-1.9088718354136,210055435178,409.11281645864
-1.90883979885132,210057348636,409.11602011486804
-1.90095729348353,210055488253,409.90427065164704
-1.89479044405904,210055484070,410.520955594096
-1.89180753842877,210056924154,410.81924615712296
-1.88518077715442,210055569867,411.481922284558
-1.88515374427645,210056879433,411.48462557235496
-1.88507907665485,210057783250,411.49209233451506
-1.88328464859288,210057343078,411.67153514071197
-1.88186777456164,210055385497,411.813222543836
-1.88118371840922,210055595107,411.881628159078
-1.88023076164318,210057801800,411.97692383568204
-1.87952653810775,210055658182,412.04734618922504
-1.87803056418088,210055678692,412.196943581912
-1.87525826100351,210055571804,412.47417389964903
-1.87448819940617,210057243874,412.551180059383
-1.87435793256353,210057768861,412.564206743647
-1.87310547050582,210057769454,412.689452949418
-1.87194919410638,210056886136,412.80508058936203
-1.86846254267134,210055451745,413.153745732866
-1.86770702408971,210057826294,413.22929759102897
-1.8668077046178,210055592912,413.31922953822
-1.86104540772186,210054514526,413.89545922781406
-1.85378031175191,210056554945,414.62196882480896
-1.85350933466539,210055217349,414.649066533461
-1.85123006623903,210057337039,414.876993376097
-1.84991708584679,210057699321,415.008291415321
-1.84552662065657,210055637272,415.44733793434295
-1.8453537331932,210056320044,415.46462668068
-1.8431499552554,210057325992,415.68500447446
-1.84190144411994,210055491444,415.80985558800603
-1.84082873088978,210057251097,415.917126911022
-1.83814122012931,210055048981,416.18587798706903
-1.8338724131573,210057792035,416.61275868427003
-1.83215124572039,210057575128,416.78487542796097
-1.826341579284,210055517307,417.3658420716
-1.82567617905038,210057860777,417.432382094962
-1.82531746885492,210056914858,417.468253114508
-1.82527546520006,210056661763,417.472453479994
-1.82471805332963,210056523067,417.5281946670369
-1.82240157276114,210055580610,417.759842723886
-1.82139992316383,210055640319,417.86000768361697
-1.81987006481187,210055050081,418.012993518813
-1.81808814624161,210056921498,418.191185375839
-1.81203346847919,210057323383,418.796653152081
-1.8116408135091,210056862194,418.83591864909
-1.81146799651093,210055719418,418.85320034890697
-1.81018137060771,210055707156,418.981862939229
-1.80765365927002,210057254231,419.234634072998
-1.80573002798126,210057810917,419.426997201874
-1.80566791528891,210055475941,419.43320847110897
-1.80369777364514,210055571966,419.630222635486
-1.8018206645555,210055481077,419.81793354445006
-1.80028667222738,210055292363,419.971332777262
-1.79927611471009,210057551119,420.072388528991
-1.798627948248,210055584768,420.13720517520005
-1.79860408162189,210055679405,420.13959183781105
-1.79806675143437,210057664474,420.193324856563
-1.79782836323385,210055028326,420.217163676615
-1.79782401885359,210055656140,420.21759811464096
-1.79354074272757,210056676385,420.64592572724297
-1.79299321698487,210056896909,420.700678301513
-1.79271171878179,210056457539,420.728828121821
-1.79055786805178,210055619632,420.944213194822
-1.78637454328303,210055618242,421.36254567169703
-1.78539672290566,210055704391,421.46032770943395
-1.78451295089939,210057302514,421.548704910061
-1.78445797150402,210055479949,421.554202849598
-1.78424462665209,210057994932,421.57553733479097
-1.7830789966602,210055619080,421.69210033397997
-1.78095814927888,210056320414,421.904185072112
-1.77894251168508,210055518283,422.105748831492
-1.77617581944191,210057571385,422.382418055809
-1.77431165371235,210055706648,422.568834628765
-1.77392658651533,210057379536,422.607341348467
-1.77186887569487,210056819252,422.813112430513
-1.76967055527621,210057348816,423.032944472379
-1.76725279688373,210056891439,423.274720311627
-1.76621091569998,210055560951,423.378908430002
-1.76101454864278,210056886421,423.898545135722
-1.76059854999809,210056667114,423.940145000191
-1.76030078387619,210057311760,423.96992161238103
-1.75897670425656,210055389239,424.10232957434397
-1.75529130319831,210055424105,424.470869680169
-1.75265973053676,210057240118,424.734026946324
-1.75230612802393,210057366424,424.769387197607
-1.74989100525378,210057816554,425.01089947462197
-1.74630922339918,210056884252,425.369077660082
-1.74425403536493,210054624969,425.57459646350696
-1.74013814872867,210056908558,425.986185127133
-1.7387461692101,210056905773,426.12538307899
-1.73612302503906,210055500154,426.387697496094
-1.73552418919801,210055574354,426.44758108019903
-1.73311732918195,210056272436,426.68826708180495
-1.72888380373377,210056846198,427.111619626623
-1.72700547557177,210057337133,427.299452442823
-1.723521683306,210056882165,427.6478316694
-1.72336303862434,210055575995,427.663696137566
-1.72315096043775,210055741257,427.68490395622496
-1.72232028830295,210056923741,427.767971169705
-1.7195116796017,210057107588,428.04883203983
-1.71885421448152,210057784924,428.114578551848
-1.71765606485958,210055389853,428.23439351404204
-1.71704227556844,210055704757,428.295772443156
-1.71612894176517,210057752531,428.387105823483
-1.71609023830317,210055438415,428.390976169683
-1.71533258501512,210056663341,428.466741498488
-1.71353317171849,210057782802,428.64668282815103
-1.70853391484804,210055684504,429.146608515196
-1.70665763468162,210055350865,429.334236531838
-1.70661023937152,210057389848,429.338976062848
-1.70575411963951,210057815319,429.424588036049
-1.70459431214327,210055553779,429.54056878567303
-1.70439788780044,210055526681,429.560211219956
-1.70415586318778,210056430662,429.58441368122203
-1.7012801010968,210055495053,429.87198989032004
-1.7012312791716,210055435161,429.87687208284
-1.7008209124762,210056896808,429.91790875238
-1.69832759663081,210056585572,430.167240336919
-1.6965169843389,210055633242,430.34830156610997
-1.69237918313533,210057365790,430.762081686467
-1.69226850611266,210056605055,430.773149388734
-1.69034392463771,210057791904,430.965607536229
-1.68902517934194,210055334655,431.097482065806
-1.68871775768532,210056885544,431.128224231468
-1.6876250668072,210055293023,431.23749331928
-1.68349396722205,210055600508,431.65060327779497
-1.68313935761748,210055505961,431.686064238252
-1.68034804331092,210055430104,431.965195668908
-1.6802703650907,210055430813,431.97296349093
-1.67755316539676,210055502202,432.24468346032404
-1.67740128020539,210057804289,432.25987197946097
-1.67621629237673,210055566721,432.378370762327
-1.67431388890093,210056676783,432.568611109907
-1.67426680226917,210056637857,432.57331977308297
